Suburb,ABS SSC Code,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,Total
Auburn ,10070,89,257,665,75,85,43,97,88,224,50,16,15,1,1705
Baulkham Hills,10135,370,138,186,27,43,70,15,48,33,26,137,96,167,1356
Carlingford,10471,17,40,68,116,47,91,84,15,11,43,21,197,33,783
Chester Hill,10518,33,18,10,17,25,7,16,4,12,17,37,11,5,212
Constitution Hill,10586,1,4,4,1,25,13,3,9,9,2,8,1,5,85
Dundas ,10745,5,2,8,30,13,13,36,23,31,23,14,24,3,225
Dundas Valley,10746,3,1,4,6,25,10,45,39,19,62,11,8,6,239
Eastwood ,10787,48,17,51,51,104,23,57,25,78,29,165,29,3,680
Epping ,10829,94,24,9,127,130,26,26,22,63,34,305,193,3,1056
Ermington,10833,5,6,12,36,36,54,40,57,20,31,83,204,36,620
Girraween ,10950,21,16,25,22,13,17,28,18,38,31,23,41,9,302
Granville ,11008,91,85,30,69,134,104,40,22,16,108,24,20,1,744
Guildford ,11038,95,105,65,168,142,84,137,131,225,80,68,122,26,1448
Harris Park,11078,46,49,21,0,17,2,0,33,13,9,10,0,10,210
Holroyd,11123,1,29,79,25,0,67,42,45,2,1,32,26,1,350
Mays Hill,11495,0,2,5,2,5,0,3,0,0,0,0,0,0,17
Melrose Park ,11508,1,7,0,0,0,1,0,0,9,0,2,2,0,22
Merrylands,11524,156,91,98,80,64,69,36,72,78,154,55,75,19,1047
North Parramatta,11755,31,58,141,90,10,62,62,49,31,80,35,16,1,666
North Rocks,11757,20,1,2,9,8,6,1,9,10,2,0,1,0,69
Northmead,11774,105,65,66,104,102,85,100,133,119,177,137,34,40,1267
Oatlands ,11798,73,9,116,5,11,12,5,1,5,24,7,2,1,271
Old Toongabbie,11809,11,3,4,0,0,2,1,0,0,9,0,4,1,35
Parramatta,11844,173,419,385,207,226,190,277,43,370,176,293,696,32,3487
Pendle Hill,11859,18,9,18,9,1,11,6,66,16,5,7,30,0,196
Rosehill ,11997,1,13,12,41,33,11,109,9,1,113,23,31,0,397
Rydalmere,12022,31,17,3,10,29,12,5,0,1,13,21,16,11,169
Seven Hills ,12064,18,4,46,11,8,9,4,37,31,17,9,8,0,202
Silverwater ,12079,26,37,146,0,0,38,10,7,22,7,6,0,0,299
South Granville,12101,12,7,25,34,1,3,2,2,53,9,7,30,5,190
Telopea,12234,25,6,23,47,8,25,55,36,14,68,96,20,21,444
Toongabbie ,12293,63,61,67,11,16,36,42,28,48,42,18,70,11,513
Wentworthville,12459,35,34,28,10,9,51,27,20,66,46,35,15,16,392
West Ryde,12477,38,82,174,14,2,12,4,4,54,17,11,48,2,462
Westmead,12484,49,190,369,55,333,20,111,140,62,17,114,118,122,1700
Winston Hills,12525,22,21,5,8,10,3,8,4,9,35,47,41,3,216
AllSuburbs,0,1827,1927,2970,1517,1715,1282,1534,1239,1793,1557,1877,2244,594,22076
